% Model:              bp.mph
% Version:            COMSOL 5.3.1.180
% Date:               Apr 28 2018, 11:34
% Dimension:          1
% Nodes:              401
% Expressions:        1
% Description:        Point graph
% X                       Height
10                        0.9999999970580052
10.000281687788966        0.9942274550234004
10.000994480244245        0.9803322170897031
10.00215366769399         0.9574173832920777
10.00372219740231         0.9253890111543671
10.005632166206585        0.8842217753014007
10.007798189408597        0.8339037310449383
10.010123136413144        0.7744261806667564
10.012498167230413        0.7057825179152144
10.014798923510899        0.6279671501090048
10.016881061937866        0.5409759025334375
10.018578704143058        0.4448068076586801
10.019706324896044        0.33946052496019696
10.020061632313325        0.22494065420894205
10.019426681542535        0.10125432756201336
10.01756643090773         -0.031586748055759895
10.014226165740965        -0.17356491551576014
10.009129860486892        -0.32465515601994777
10.001980376437984        -0.48482385009943774
9.992460679081606         -0.6540276496224529
9.980234516208847         -0.8322121959741202
9.964945657625938         -1.0193104506277126
9.946216039675669         -1.2152406153714133
9.923643834967844         -1.419903798176979
9.896802123717759         -1.6331815598409862
9.865237971598717         -1.8549332817573327
9.828471178979523         -2.0849931068988603
9.7859921719339           -2.3231661821250453
9.737259134960318         -2.569224058393033
9.681694897543565         -2.822899225524708
9.618683953991326         -3.0838787252737623
9.547569554654327         -3.3517966067602547
9.467650542775157         -3.6262248047774888
9.378177772224241         -3.9066619518624144
9.278350347378097         -4.1925196625048
9.167312238433466         -4.483105830800333
9.044149924770041         -4.77760438255176
8.907891811008202         -5.075050781859579
8.757510541698096         -5.374302576263849
8.591930118353446         -5.6740045343574215
8.4100407750861           -5.9725486079857095
8.210725718767186         -6.268030215354024
7.992904934793533         -6.558204555206268
7.755601997048549         -6.840450295701706
7.49803930265254          -7.111753337476014
7.219763707132476         -7.36872979074565
6.920796103799841         -7.607712293402209
6.601784222939058         -7.8249220895864955
6.264121006538485         -8.016734086293818
5.909980828479552         -8.180010345631306
5.54223543159515          -8.312438121842103
5.164245913964188         -8.412784758832128
4.779572851100657         -8.480996295564461
4.391676621148746         -8.518118507190257
4.003676091542328         -8.52607889907585
3.618202528721193         -8.507402420735675
3.237349179934208         -8.464931574528615
2.862693319231621         -8.40159632984029
2.495360758128135         -8.32025048345147
2.13610718439475          -8.223570763016776
1.7853993222716138        -8.114005412543039
1.4434868168549535        -7.99375720468279
1.1104614121461882        -7.864788026449952
0.786303258078906         -7.7288355846440275
0.47091572531147463       -7.587435914682214
0.16415068418242917       -7.44194778602513
-0.13417381393746908      -7.293576669476286
-0.4242616611811503       -7.14339695924868
-0.7063310791316066       -6.992371743093538
-0.9806099608262588       -6.841369814458216
-1.2473330970491343       -6.691179892784921
-1.506740441081984        -6.542522209774676
-1.759075779429514        -6.396057739745201
-2.0045853673240472       -6.252395401108058
-2.2435162650935645       -6.112097564884997
-2.476114270515854        -5.975684196538941
-2.7026214953777288       -5.8436359597163205
-2.9232737717473984       -5.716396625139983
-3.1382981783231703       -5.594375132803883
-3.3479110104397947       -5.477947613167961
-3.5523164664501614       -5.367459565227113
-3.751706180024458        -5.263228237209709
-3.9462595362448987       -5.165545101773687
-4.136144525856354        -5.074678221797785
-4.32016924859043         -4.99477725365713
-4.49984350437648         -4.922214829481091
-4.675281667485233        -4.857198492452898
-4.847526900704413        -4.797264866362466
-5.0160550126794785       -4.744328184415156
-5.180817392742345        -4.699095119612825
-5.34181914256043         -4.661901814037371
-5.4991005740569          -4.632930822796976
-5.652700098334462        -4.612297773303196
-5.802632397322952        -4.600085804854738
-5.948885705504663        -4.596353124861351
-6.091419946246333        -4.601135523654589
-6.230164881676501        -4.614447584004157
-6.365019628879001        -4.636282847065157
-6.495852700756714        -4.666613554347181
-6.622501990180556        -4.705390018719767
-6.744774496125892        -4.7525395046558305
-6.8624456344922535       -4.807964578403349
-6.975258035794717        -4.87154089220917
-7.082919786856561        -4.943114324510634
-7.185102111014611        -5.022497360065641
-7.2814365503332255       -5.109464576546275
-7.3715118147426715       -5.203747107883183
-7.454870557875559        -5.305025962454327
-7.531006400273057        -5.412924068931565
-7.59936155658168         -5.526996904914301
-7.659325469438659        -5.646721550640374
-7.710234942516973        -5.771484024541805
-7.751376415504858        -5.900564822441365
-7.781991242841933        -6.033122730783224
-7.801285136090794        -6.168177272242063
-7.808443307004719        -6.304590653015744
-7.802653249519356        -6.441050903915193
-7.78313738261863         -6.576059124666156
-7.749197643487435        -6.707925335636815
-7.700273160895296        -6.8347792107368415
-7.636009835719506        -6.954603334176676
-7.556336706759861        -7.06529651269663
-7.461538639552003        -7.16477153845859
-7.352309805693633        -7.25108469720921
-7.229770445995502        -7.322583467869084
-7.095433664497023        -7.378048122407742
-6.951120190388476        -7.41679786977285
-6.798833651130629        -7.438737477771559
-6.640620145771223        -7.444335459783947
-6.478438596059281        -7.434542939784583
-6.314061679520986        -7.410675612628864
-6.149015945994542        -7.374284632169399
-5.984559121443537        -7.327037520316981
-5.8216861878551285       -7.27062147628512
-5.661153875591024        -7.2066731096262036
-5.50351432692092         -7.136732858269367
-5.349151154636001        -7.062219483129493
-5.198313682240663        -6.984419329636871
-5.051147193885297        -6.904485573399693
-4.907718417785501        -6.823443699741764
-4.768036278888978        -6.7422005238036276
-4.632068368873453        -6.661554956558654
-4.499753740025739        -6.58220937993088
-4.37101264559278         -6.504780935705
-4.2457538088306315       -6.429812302078688
-4.123879734856331        -6.357781692968052
-4.005290513154877        -6.2891119088510745
-3.8898864958125348       -6.224178334325248
-3.7775701776773545       -6.163315831962542
-3.668247547649843        -6.106824530912213
-3.5618291232001518       -6.0549745512415685
-3.458230823052416        -6.008009740023021
-3.3573747775593645       -5.966150524190896
